Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Marathon Oil","MRO","YES",".67",".8","8","3.11","7036.4458","1716.375","46.99","8036","3967","690","3612","4831","1671","Oil and Gas - Integrated - United States","Oils-Energy","16068.78"
"Mersana Therapeutics","MRSN","YES","-.49","-.44","4","-1.97","53.75999","10.94699","61716.28","26.58","-200.88401","0","-204.21201","-204.747","319.21899","Medical - Biomedical and Genetics","Medical","483.96"
"Marten Transport","MRTN","YES",".33",".33","1","1.33","1317","328","29.81","1263.88","144.171","468.363","110.35399","221.36799","235.83999","Transportation - Truck","Transportation","1623.06"
"Mirati Therapeutics","MRTX","YES","-3.37","-3.03","7","-13.26","64.08499","11.46","-82.75","12.44","-740.35901",".6","-740.86701","-742.13801","1108.96105","Medical - Biomedical and Genetics","Medical","2232.14"
"Merus","MRUS","YES","-.9","-1.07","5","-4.2","42.373","10.16499","-15.32","41.59","-130.23501","0","-131.19401","-129.909","306.44299","Medical - Biomedical and Genetics","Medical","849"
"Maravai LifeSciences","MRVI","YES",".08",".1","5",".35","426.17498","96.74199","10.48","883","571.88598","168.957","220.205","500.333","847.90197","Medical - Products","Medical","3491.24"
"Marvell Technology","MRVL","YES",".29",".32","11","1.48","5485.58203","1300.95605","32.66","5919.6","255.69999","2932.10009","-163.5","3263.5","3281.10009","Technology Services","Business Services","33641.89"
"Morgan Stanley","MS","YES","1.78","1.78","6","7.05","56115.12109","14140.33984","7.88","65936","14089","3458","11029","15386.73046","667733","Financial - Investment Bank","Finance","141602.53"
"MSA Safety Incorporporated","MSA","YES","1.3","1.36","2","5.51","1618.05004","397.79998","9.13","1527.95","260.19299","854.122","179.63","278.82501","880.12597","Security and Safety Services","Industrial Products","5136.19"
"Mesabi Trust","MSB","YES","","","","","","","175.37","71.46","68.76599","0","68.76599","68.76599","53.91299","Mining - Iron","Basic Materials","332.59"
"Midland States Bancorp","MSBI","YES",".82",".81","2","3.37","315.95001","78.8","24.03","381.65","149.79699","36.061","99.025","105.791","6438.08105","Banks - Northeast","Finance","461.17"
"MSCI","MSCI","YES","3.16","3.33","6","12.85","2469.01098","606.69702","10.03","2248.6","1215.41198","404.341","870.57299","1077.91101","1747.97399","Business - Software Services","Computer and Technology","42670.65"
"Middlesex Water Company","MSEX","YES",".55",".88","1","2.31","172","42","13.48","162.43","55.03599","79.096","42.429","69.90399","37.30599","Utility - Water Supply","Utilities","1427.95"
"Microsoft","MSFT","YES","2.44","2.54","11","9.31","208730.28125","54875.1914","17.96","198270","83716","62650","72738","83907","169684","Computer - Software","Computer and Technology","2170613.25"
"Madison Square Garden Entertainment","MSGE","YES","-1.71","","","-1.62","1943.22094","424.75698","855.99","1724.62","-188.777","1009.24499","-194.39501","14.979","1218.656","Leisure and Recreation Services","Consumer Discretionary","1951.6"
"The Madison Square Garden Company","MSGS","YES","-.8","","","1.25","836.414","83.482","97.57","821.35","85.66699","500.56399","51.131","56.173","205.26899","Leisure and Recreation Services","Consumer Discretionary","4638.81"
"Motorola Solutions","MSI","YES","2.42","3.06","6","11.18","9669.36328","2290.50708","11.52","9112","1741","4883","1363","2220","5255","Wireless Equipment","Computer and Technology","47408.7"
"MSC","MSM","YES","1.7","1.61","9","6.23","3893.92309","1009.61901","13.83","3691.89","468.73098","2133.64501","339.78601","415.04598","1543.62304","Industrial Services","Industrial Products","4720.76"
"MicroStrategy","MSTR","YES",".63",".55","1","2.1","509.29998","126.3","-2.25","499.26","-1322.46497","102.98899","-1469.797","-1391.16602","264.566","Computer - Software","Computer and Technology","3350.29"
"ArcelorMittal","MT","YES",".89",".39","1","3.38","68620.14062","16612.91992","4.27","79844","11589","67309","9302","13191","37118","Steel - Producers","Basic Materials","22646.1"
"Metalla Royalty & Streaming","MTA","YES","","","","-.14","","","-18.75","2.41","-9.599","1.80799","-10.92801","-9.12041","9.56599","Mining - Miscellaneous","Basic Materials","296.63"
"M&T Bank","MTB","YES","4.43","4.54","14","17.56","9507.42578","2387.45605","40.91","8603.72","2741.65502","294.63198","1991.66296","2900.15307","165165.90625","Banks - Major Regional","Finance","19756.94"
"Match Group","MTCH","YES",".49",".58","9","2.08","3395.50195","820.58398","6.89","3188.84","523.03802","959.96301","361.94601","774.00799","882.385","Internet - Commerce","Retail-Wholesale","9977.45"
"Metacrine","MTCR","YES","","","","-.09","","","","","-61.00501","0","-62.20701","-61.23501","78.73999","Medical - Biomedical and Genetics","Medical","24.05"
"MettlerToledo International","MTD","YES","10.44","11.36","4","44","4102.93017","1003.13299","5.43","3919.71","1125.984","1611.66699","872.50201","1013.69598","1375.08898","Instruments - Scientific","Computer and Technology","33125.41"
"Matador Resources","MTDR","YES","1.69","2.07","6","7.49","2846.21801","663.37597","83.89","3058.02","1752.83801","556.65197","1214.20605","1730.61401","1071.83203","Oil and Gas - Exploration and Production - United States","Oils-Energy","6009.56"
"Molecular Templates","MTEM","YES","-.28","-.28","2","-1.06","5.25","2.5","-48.95","19.75","-87.88301","0","-92.71801","-83.93001","68.29799","Medical - Drugs","Medical","24.23"
"MGIC Investment","MTG","YES",".49",".55","2","2.12","1197.635","298.58499","-1.09","1172.79","1138.08801","-17.86801","865.34899","959.057","492.41198","Insurance - Multi line","Finance","3843.62"
"Meritage Homes","MTH","YES","2.79","3.53","9","12.97","4984.06103","1146.70898","21.93","6268.73","1289.359","4484.12597","992.19201","1016.94","1153.30895","Building Products - Home Builders","Construction","4191.61"
"Materialise","MTLS","YES","","","","","","","4.35","242.81","3.41599","108.79299","-2.238","21.364","228.014","Internet - Software","Computer and Technology","470.15"
"Vail Resorts","MTN","YES","8.88","-3.01","6","7.6","2917.79296","1245.60205","32.27","2525.91","605.34399","1349.28796","347.923","600.31402","1791.53198","Leisure and Recreation Services","Consumer Discretionary","18047.51"
"Materion","MTRN","YES","1.39","1.41","3","5.71","1840.40002","456.333","16.32","1757.11","125.00499","1413.229","85.98999","164.514","690.44799","Mining - Miscellaneous","Basic Materials","2318.47"
"Matrix Service","MTRX","YES","","","","-.81","","","5.11","707.78","-55.33201","708.98602","-63.90001","-18.32501","287.41198","Oil and Gas - Mechanical and and Equipment","Oils-Energy","140.6"
"MACOM Technology Solutions","MTSI","YES",".73",".74","7","3.06","680.97698","164.669","11.25","675.17","247.41999","268.98901","439.95498","259.927","813.083","Semiconductor - Analog and Mixed","Computer and Technology","4517.13"
"Matterport","MTTR","YES","-.09","-.08","3","-.34","161.367","37.95","22.44","136.13","-110.09601","84.27899","-111.339","-100.446","517.932","Technology Services","Business Services","791.68"
"The Manitowoc Company","MTW","YES",".23",".09","5",".85","2061.69995","506.36999","18.15","2032.5","-88.6","1668","-123.6","102.9","998.5","Manufacturing - Construction and Mining","Industrial Products","511.38"
"Minerals Technologies","MTX","YES","1.33","1.43","2","5.15","2200.3999","554.5","14.38","2125.5","200.6","1660.5","122.19999","254.3","1070.5","Chemical - Specialty","Basic Materials","1888.96"
"MasTec","MTZ","YES","1.13","2","2","4.76","13019.25976","3154.28002","22.97","9778.04","155.31399","8586.333","33.354","741.94799","3859.12695","Building Products - Heavy Construction","Construction","6894.13"
"Micron Technology","MU","YES","-1.49","-1.14","9","-4.42","15494.6914","3712.71508","11.02","30758","9760","16860","8687","16591","21781","Semiconductor Memory","Computer and Technology","64087.74"
"","MUB","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","32715.66"
"Mudrick Capital Acquisition   II","MUDS","YES","","","","","","","","","-4.50601","0","-4.50601","-4.50601",".221","Retail - Miscellaneous","Retail-Wholesale",""
"Mitsubishi UFJ Financial Group","MUFG","YES","","","",".77","","","-4.78","54124","16259.86718","1841.03601","10064.49023","13732.16992","2377943","Banks - Foreign","Finance","79099.06"
"Net Element","MULN","YES","","","","","","","","65.71","0","0","0","22.878","23.47299","Automotive - Domestic","Auto-Tires-Trucks","177.52"
"Murphy Oil","MUR","YES","1.39","1.64","8","5.86","3570.86206","850.42901","71.04","3932.66","1601.02001","851.333","965.04699","1670.91699","972.32501","Oil and Gas - Exploration and Production - United States","Oils-Energy","5971.94"
"Murphy USA","MUSA","YES","4.96","4.93","4","18.4","21692.66992","5527.43505","35.05","23446.1","969.09997","22022.69921","672.90002","893.20001","726.79998","Oil and Gas - Refining and Marketing","Oils-Energy","5530.72"
"McEwen Mining","MUX","YES","-.24","-.24","1","-.93","152.8","40","-19.11","110.42","-72.49901","110.96099","-81.075","-61.544","81.652","Mining - Miscellaneous","Basic Materials","431.12"
"Mvb Financial","MVBF","YES",".55",".7","2","2.51","183.03999","42.90999","12.48","164.25","22.193","10.47599","15.04699","25.49099","2503.18896","Financial - Miscellaneous Services","Finance","242.33"
"Microvision","MVIS","YES","","","","","","","-73.44",".66","-53.091",".1","-53.091","-50.84501","91.008","Lasers Systems and Components","Computer and Technology","431.28"
"MV Oil Trust","MVO","YES","","","","","","","125.23","27.2","25.53","0","25.53","25.53","1.036","Oil and Gas - Royalty Trust - United States","Oils-Energy","154.79"
"Microvast","MVST","YES","-.08","-.07","1","-.27","347.57901","64.299","34.56","204.49","-154.844","195.42199","-158.2","-56.90801","545.06701","Technology Services","Business Services","377.48"
"Mueller Water Products","MWA","YES",".21",".17","3",".68","1344.77001","351.54998","12.28","1247.4","115.5","883.09997","76.59999","151.5","680","Steel - Pipe and Tube","Industrial Products","2040.81"
"Magnachip Semiconductor","MX","YES","","","","","358","71","-28.8","337.66","-1.72201","236.39399","-8.03601","23.752","337.85299","Semiconductor - Analog and Mixed","Computer and Technology","395.32"
"MaxCyte","MXCT","YES","-.08","-.07","2","-.32","54.45","13.05","30.59","44.26","-23.44401","5.098","-23.571","-23.54101","252.266","Medical - Biomedical and Genetics","Medical","518.34"
"MaxLinear","MXL","YES",".62",".7","4","2.78","964.41497","231.33999","25.53","1120.25","183.966","470.483","125.04","424.88101","563.12402","Semiconductor - Analog and Mixed","Computer and Technology","2652.95"
"Myers Industries","MYE","YES",".41",".46","1","1.71","927.70001","227.5","18.14","899.55","83.941","616.18103","60.26699","83.319","257.207","Rubber - Plastics","Industrial Products","737.88"
"Myriad Genetics","MYGN","YES","-.07","-.08","5","-.34","730.97998","184.988","-1.77","678.4","-137.4","202","-112","45.4","274.6","Medical - Biomedical and Genetics","Medical","1894.95"
"MyMD Pharmaceuticals","MYMD","YES","","","","","","","","","-15.197","0","-15.197","-15.197","5.40199","Medical - Drugs","Medical","59.6"
"PLAYSTUDIOS","MYPS","YES","-.03","-.01","3","-.07","309.302","74.621","1.01","290.31","-23.61801","85.4","-17.78301","17.92399","175.979","Gaming","Consumer Discretionary","495"
"MYR Group","MYRG","YES","1.31","1.54","1","5.6","3294","813.29998","20.42","3008.54","117.76699","2664.58007","83.38099","141.55099","890.29101","Electric Construction","Utilities","2044.85"
"MYT Netherlands Parent","MYTE","YES",".15",".04","1",".43","814.40502","221.24499","5.45","777.64","5.44999","377.406","-8.90401","60.41699","466.51901","Internet - Commerce","Retail-Wholesale","600.11"
"NaaS Technology Inc. Sponsored ADR","NAAS","YES","","","","","","","","146.89","39.088","0","-38.99301","-4.70801","4.81099","Electronics - Power Generation","Computer and Technology","146.47"
"Nable","NABL","YES",".08",".09","2",".33","410.755","101.165","7.31","371.77","49.277","58.61","16.707","87.896","154.156","Technology Services","Business Services","2384.66"
"Northern Dynasty Minerals","NAK","YES","","","","","","","","","-18.66601","0","-18.80101","-18.602","12.949","Mining - Gold","Basic Materials","132.45"
"The Duckhorn Portfolio","NAPA","YES",".12",".16","4",".63","403.79998","89.71299","10.66","372.51","89.52799","187.33","60.18999","96.19999","339.52099","Beverages - Alcohol","Consumer Staples","1744.42"
"Inari Medical","NARI","YES","-.18","-.12","5","-.51","476.069","114.96399","38.45","383.47","-25.89101","44.506","-29.26701","-22.005","422.90499","Medical - Instruments","Medical","3534.73"
"Nordic American Tankers Limited","NAT","YES",".06",".04","1",".58","273.54998","64.69999","150.13","168.82","42.15599","63.43","15.10099","15.10099","143.514","Transportation - Shipping","Transportation","659.7"
"National Instruments","NATI","YES",".57",".63","2","2.43","1810.76","436.32699","12.74","1656.97","171.876","534.72399","139.64399","346.03601","1088.91894","Electronics - Testing Equipment","Computer and Technology","6885.15"
"Nature's Sunshine Products","NATR","YES","","","","","","","-4.99","421.91","15.46399","122.15","-.39","12.75699","149.507","Medical - Drugs","Medical","201.62"
"Nautilus Biotechnology","NAUT","YES","-.17","-.19","2","-.71",".4","","","","-57.924","0","-57.924","-55.398","187.20899","Medical - Biomedical and Genetics","Medical","328.4"
"Navidea Biopharmaceuticals","NAVB","YES","","","","","","","-87.59",".07","-14.07901",".18494","-15.17701","-14.898","3.20399","Medical - Instruments","Medical","9.03"
"Navient","NAVI","YES",".78",".76","4","3.2","919.32501","229.90299","11.15","3839","827","0","645","477","67057","Financial - Consumer Loans","Finance","2051.46"
"National Bank","NBHC","YES",".99",".94","1","3.71","446.23999","113.97","13.06","352","89.441","14.59599","71.274","117.136","7349.18798","Banks - Southeast","Finance","1232.72"
"Neurocrine Biosciences","NBIX","YES",".69",".73","8","2.77","1825.32702","446.09799","31.34","1488.7","221","23.2","154.5","171.3","1453.5","Medical - Drugs","Medical","10217.76"
"Nabors Industries","NBR","YES","3.2","4.51","4","14.49","3303.14892","816.38201","32.18","2668.76","-67.78701","1666.00402","-350.26099","423.406","1000.62298","Oil and Gas - Drilling","Oils-Energy","1147.91"
"Nabriva Therapeutics","NBRV","YES","","","","","","","474.8","28.9","-48.059","13.14799","-49.45001","-48.813","80.26499","Medical - Biomedical and Genetics","Medical","53.62"
"NeuBase Therapeutics","NBSE","YES","-.08","-.09","1","-.42","","","","","-33.752","0","-33.77601","-32.51301","24.649","Medical - Biomedical and Genetics","Medical","5.61"
"NBT Bancorp","NBTB","YES",".78",".92","3","3.46","563.72698","139.53599","8.43","539.65","208.113","9.923","151.99499","177.61799","8247.25878","Banks - Northeast","Finance","1420.47"
"Norwegian Cruise Line","NCLH","YES",".33",".77","5",".71","8564.92578","2232.77001","647.51","4843.76","-1475.19105","4267.08593","-2269.90894","-1136.73096","1872.86901","Leisure and Recreation Services","Consumer Discretionary","5518.84"
"National CineMedia","NCMI","YES",".03","-.04","2","-.05","335.5","73.55","26.77","114.6","-53.6","76.9","-48.70001","-25","158.39999","Advertising and Marketing","Business Services","10.95"
"nCino","NCNO","YES",".05",".08","6",".37","479.609","112.495","49.09","408.32","-40.55401","88.135","-102.72001","-8.007","442.23098","Internet - Software","Computer and Technology","2712.79"
"NCR","NCR","YES",".69",".86","4","3.01","7878.77099","1951.00195","9.61","7844","496","5986","60","984.64001","3082","Computer - Integrated Systems","Computer and Technology","3163.72"
